id,ukb_variable_description,number_participants,link
p31,Sex,502411,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=31
p33,Date of birth,502411,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=33
p34,Year of birth,502408,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=34
p52,Month of birth,502408,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=52
p53,Date of attending assessment centre,502411,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=53
p55,Month of attending assessment centre,502411,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=55
p190,Reason lost to follow-up,1298,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=190
p191,Date lost to follow-up,1298,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=191
p200,Date of consenting to join UK Biobank,502409,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=200
p738,Average total household income before tax,497406,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=738
p1239,Current tobacco smoking,501538,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1239
p1249,Past tobacco smoking,463852,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1249
p1538,Major dietary changes in the last 5 years,501532,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1538
p1548,Variation in diet,498738,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1548
p2443,Diabetes diagnosed by doctor,501498,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=2443
p2453,Cancer diagnosed by doctor,501498,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=2453
p2887,Number of cigarettes previously smoked daily,118282,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=2887
p3436,Age started smoking in current smokers,39540,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=3436
p3446,Type of tobacco currently smoked,39540,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=3446
p3456,Number of cigarettes currently smoked daily (current cigarette smokers),36747,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=3456
p6150,Vascular/heart problems diagnosed by doctor,501486,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=6150
p6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",501498,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=6152
p20002,"Non-cancer illness code, self-reported",387470,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20002
p20077,Number of diet questionnaires completed,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20077
p20107,Illnesses of father,488041,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20107
p20110,Illnesses of mother,492917,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20110
p20111,Illnesses of siblings,434141,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20111
p20116,Smoking status,501538,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20116
p20117,Alcohol drinker status,501532,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20117
p20160,Ever smoked,499666,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20160
p20161,Pack years of smoking,152789,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20161
p20162,Pack years adult smoking as proportion of life span exposed to smoking,152789,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20162
p20403,Amount of alcohol drunk on a typical drinking day,143636,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20403
p21000,Ethnic background,501517,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21000
p21003,Age when attended assessment centre,502411,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21003
p21022,Age at recruitment,502408,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21022
p22040,Summed MET minutes per week for all activity,402303,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=22040
p22200,Year of birth,121256,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=22200
p22506,Tobacco smoking,121256,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=22506
p22508,Amount of tobacco currently smoked,2870,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=22508
p23104,Body mass index (BMI),493034,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23104
p26000,Total weight of all foods and beverages,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26000
p26002,Energy,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26002
p26032,Monounsaturated fatty acids,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26032
p26062,Animal fat spread lower fat,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26062
